99999,354.56,492.56,852.76,2126.95,2366.81,1457.53,342.44,2467.27,810.26,2692.1,739.08,1934.9,2323.04,2354.31,486,2219.37,2094.68,1330.51,893.53,1731.09,2667.28,2468.53,2708.56,1492.16,3304.54
354.56,99999,342.34,1121.07,1875.04,2190.65,1215.47,677.79,2455.15,938,2850.96,413.6,1681.33,2090.56,2272.86,742.66,1973.86,1983.8,1577.61,1208.76,1486.3,2690.29,2710.24,2984.09,1510.39,3431.92
492.56,342.34,99999,1344.57,1635.09,1888.83,965.6,826.01,2113.03,670.44,2558.52,373.44,1443.49,1830.76,1935.66,972.71,1726.94,1653,1376.31,1118.63,1238.96,2351.05,2482,2790.5,1174.12,3120.77
852.76,1121.07,1344.57,99999,2975.53,3212.5,2306.96,547.21,3194.13,1495.24,3137.7,1534.31,2782.67,3175.31,3148.69,379.05,3069.62,2912.95,1686.12,1121.55,2580.66,3346.16,2712.82,2820.37,2224.31,3791.7
2126.95,1875.04,1635.09,2975.53,99999,629.11,669.49,2460.03,1673.66,1833.17,2830.39,1483.22,193.7,257.84,1205.82,2598.94,108.48,929.98,2448.55,2526.11,396.45,2003.19,3189.36,3617.17,1487.82,3103.05
2366.81,2190.65,1888.83,3212.5,629.11,99999,1025.6,2669.62,1129.32,1857.83,2379.32,1853.65,724.81,433.63,646.24,2852.8,554.17,489.2,2323.3,2543.02,811.42,1448.51,2853.13,3298.01,1291.55,2561.52
1457.53,1215.47,965.6,2306.96,669.49,1025.6,99999,1790.79,1689.75,1235.51,2609,842.27,478.32,875.12,1325.73,1931.18,762.76,994.99,1919.04,1908,273.71,2003.29,2814.71,3211.74,1110.84,3014.19
342.44,677.79,826.01,547.21,2460.03,2669.62,1790.79,99999,2667.7,967.7,2732.91,1078.08,2269.01,2649.37,2604.45,253.11,2550.31,2365.82,1302.1,774.38,2063.63,2837.23,2412.07,2599.21,1692.23,3370.51
2467.27,2455.15,2113.03,3194.13,1673.66,1129.32,1689.75,2667.7,99999,1700.85,1293.4,2277.02,1677.73,1546.3,483.21,2906.44,1634.04,751.6,1778.37,2216.03,1636.83,330.01,1890.41,2336.79,977.69,1435.72
810.26,938,670.44,1495.24,1833.17,1857.83,1235.51,967.7,1700.85,99999,1913.74,1023.7,1667.31,1955.75,1673.07,1210.61,1897.88,1475.51,736.09,697.24,1465.53,1873.28,1813.73,2136.77,729.28,2506.14
2692.1,2850.96,2558.52,3137.7,2830.39,2379.32,2609,2732.91,1293.4,1913.74,99999,2863.96,2777.53,2761.54,1749.17,2983.59,2818.06,1923.19,1451.76,2016.16,2668.64,1054.28,762.21,1151.25,1517.31,662.2
739.08,413.6,373.44,1534.31,1483.22,1853.65,842.27,1078.08,2277.02,1023.7,2863.96,99999,1290.28,1709.86,2025.5,1156.18,1585.33,1713.91,1744.32,1485.4,1104.25,2545.5,2836.5,3156.36,1406.69,3395.73
1934.9,1681.33,1443.49,2782.67,193.7,724.81,478.32,2269.01,1677.73,1667.31,2777.53,1290.28,99999,430.52,1230.68,2405.81,295.51,926.19,2304.94,2355.8,208.36,2007.29,3093.84,3514,1377.51,3090.04
2323.04,2090.56,1830.76,3175.31,257.84,433.63,875.12,2649.37,1546.3,1955.75,2761.54,1709.86,430.52,99999,1064.98,2801.84,152.35,838.36,2522.12,2652.97,605.89,1870.84,3178.55,3615.83,1519.86,2981.95
